x,y,z,q0,q1,q2,q3
-0.372583091259003,-0.201805740594864,1.54883861541748,-0.26048156619072,-0.36873260140419,-0.521099805831909,-0.724320828914642
-0.371888250112534,-0.203041389584541,1.54847061634064,-0.261118501424789,-0.369437217712402,-0.521237730979919,-0.723632872104645
-0.371034324169159,-0.203937441110611,1.5480649471283,-0.262471586465836,-0.368595123291016,-0.520011007785797,-0.724454879760742
-0.370193600654602,-0.204934746026993,1.54767942428589,-0.263052999973297,-0.368441879749298,-0.520211577415466,-0.724177956581116
-0.369404762983322,-0.205913871526718,1.5472503900528,-0.263837963342667,-0.368295192718506,-0.520092308521271,-0.724052608013153
-0.36896026134491,-0.207022115588188,1.5470278263092,-0.265219420194626,-0.370332837104797,-0.521739900112152,-0.721318125724792
-0.367828369140625,-0.207853972911835,1.54655718803406,-0.265586227178574,-0.36833319067955,-0.520282983779907,-0.723256886005402
-0.367396652698517,-0.20892459154129,1.54637479782104,-0.26706400513649,-0.369807422161102,-0.520497262477875,-0.721804738044739
-0.366302728652954,-0.20975187420845,1.54574453830719,-0.267029047012329,-0.368959337472916,-0.521494388580322,-0.721531808376312
-0.365532487630844,-0.210673481225967,1.54543399810791,-0.267883419990539,-0.36869540810585,-0.521421611309052,-0.721402645111084
-0.364845484495163,-0.211487248539925,1.54504466056824,-0.268837034702301,-0.368445128202438,-0.520508527755737,-0.72183495759964
-0.364097952842712,-0.212408483028412,1.54473912715912,-0.269830673933029,-0.368383765220642,-0.520589590072632,-0.72143691778183
-0.363647758960724,-0.213318824768066,1.54452776908875,-0.270852029323578,-0.369610905647278,-0.520956218242645,-0.720160782337189
-0.362949550151825,-0.214061513543129,1.5440821647644,-0.271849542856216,-0.370046138763428,-0.522627651691437,-0.718348264694214
-0.362964391708374,-0.215057283639908,1.54410839080811,-0.273701131343841,-0.374224185943604,-0.520012319087982,-0.717377960681915
-0.3623126745224,-0.215745732188225,1.54377925395966,-0.274882018566132,-0.374193996191025,-0.520556926727295,-0.716546833515167
-0.361752361059189,-0.216703101992607,1.54349672794342,-0.27574434876442,-0.375782191753387,-0.519676566123962,-0.716023147106171
-0.361120134592056,-0.217472553253174,1.54321849346161,-0.276562750339508,-0.375617504119873,-0.520275950431824,-0.715358376502991
