x,y,z,q0,q1,q2,q3
-0.555714249610901,-0.157452180981636,1.31802999973297,-0.135136157274246,-0.0112256379798054,-0.660106599330902,-0.738831281661987
-0.555581867694855,-0.157158464193344,1.31802213191986,-0.135173335671425,-0.0115269469097256,-0.660503745079041,-0.738464713096619
-0.555396795272827,-0.156762078404426,1.31807267665863,-0.135346636176109,-0.0120008317753672,-0.661022841930389,-0.737960815429688
-0.555248498916626,-0.156460508704185,1.31807947158813,-0.135226413607597,-0.0122551238164305,-0.661529719829559,-0.737524390220642
-0.555158317089081,-0.156252592802048,1.31803798675537,-0.135064885020256,-0.0123207978904247,-0.661958336830139,-0.73716813325882
-0.555025577545166,-0.156003788113594,1.3181117773056,-0.135436043143272,-0.0121437236666679,-0.662425637245178,-0.736683070659637
-0.554864764213562,-0.155700877308845,1.31812858581543,-0.135320737957954,-0.0123488549143075,-0.662965059280396,-0.736215531826019
-0.554706156253815,-0.155378863215446,1.31812345981598,-0.135109916329384,-0.0126416822895407,-0.663459479808807,-0.735803723335266
-0.554593563079834,-0.155070513486862,1.31813716888428,-0.13505132496357,-0.0128390630707144,-0.663922488689423,-0.735393166542053
-0.554485857486725,-0.15482896566391,1.31814408302307,-0.134869903326034,-0.0130687709897756,-0.664343416690826,-0.735042095184326
-0.554250061511993,-0.154445856809616,1.31812751293182,-0.13467401266098,-0.013030856847763,-0.664989352226257,-0.734494626522064
-0.554148733615875,-0.154182001948357,1.31810140609741,-0.134652584791183,-0.0132025647908449,-0.665431320667267,-0.73409515619278
-0.554017424583435,-0.153853341937065,1.31806230545044,-0.134812206029892,-0.0133872237056493,-0.666010320186615,-0.733537137508392
-0.553879499435425,-0.153570517897606,1.31804406642914,-0.134832605719566,-0.0135973328724503,-0.666574239730835,-0.733017086982727
-0.553717195987701,-0.153150990605354,1.31792235374451,-0.134553015232086,-0.014346876181662,-0.667303144931793,-0.732390820980072
-0.553672730922699,-0.15293276309967,1.31793701648712,-0.134290382266045,-0.0144935101270675,-0.66778302192688,-0.73199850320816
-0.553592264652252,-0.152677208185196,1.31798684597015,-0.134602338075638,-0.0142526431009173,-0.668310165405273,-0.731464803218842
-0.553480505943298,-0.152329728007317,1.31796169281006,-0.134462922811508,-0.0144936125725507,-0.669027864933014,-0.730829238891602
-0.553357720375061,-0.151981636881828,1.31795608997345,-0.134629964828491,-0.0146286357194185,-0.669755935668945,-0.730128705501556
-0.553292393684387,-0.151737347245216,1.31794714927673,-0.1345394551754,-0.0148136131465435,-0.670228004455566,-0.729708194732666
-0.553119540214539,-0.151381015777588,1.3179327249527,-0.134608924388885,-0.0149919213727116,-0.670907437801361,-0.729067146778107
-0.553036272525787,-0.151110649108887,1.31793534755707,-0.134461551904678,-0.0151454769074916,-0.671410024166107,-0.72862833738327
