x,y,z,q0,q1,q2,q3
-0.572904825210571,-0.0809415429830551,1.49481642246246,-0.110491998493671,-0.0194661486893892,-0.609884321689606,-0.78450870513916
-0.572938740253448,-0.0812705233693122,1.4950065612793,-0.112067483365536,-0.0198044031858444,-0.609283924102783,-0.784743130207062
-0.572844505310059,-0.0815310329198837,1.49494624137878,-0.113539360463619,-0.0197517648339271,-0.608429908752441,-0.785195350646973
-0.572772324085236,-0.0817423164844513,1.49489653110504,-0.114460177719593,-0.0198226664215326,-0.607833206653595,-0.785521984100342
-0.57269024848938,-0.0820728540420532,1.49477684497833,-0.116406157612801,-0.0194369163364171,-0.607144236564636,-0.785778403282166
-0.572632372379303,-0.0823751538991928,1.49471867084503,-0.1176812723279,-0.01940250210464,-0.606294929981232,-0.786244928836823
-0.572516977787018,-0.0826521962881088,1.49450433254242,-0.118358738720417,-0.019284201785922,-0.605668306350708,-0.7866290807724
-0.572439670562744,-0.082931101322174,1.49444711208344,-0.119463175535202,-0.0191287733614444,-0.605184137821198,-0.786838471889496
-0.572331726551056,-0.0832159668207168,1.49444460868835,-0.120482906699181,-0.0190145783126354,-0.604747414588928,-0.787021577358246
-0.572243630886078,-0.0834720283746719,1.49456417560577,-0.121709614992142,-0.0188291296362876,-0.60414332151413,-0.787301182746887
-0.572132289409637,-0.0838271975517273,1.49439597129822,-0.123419746756554,-0.0172524228692054,-0.603022992610931,-0.787929654121399
-0.571993768215179,-0.0840557888150215,1.49449157714844,-0.123851150274277,-0.0180759411305189,-0.603959918022156,-0.787125527858734
-0.571740806102753,-0.0842587649822235,1.49441254138947,-0.124654605984688,-0.0174114629626274,-0.60360324382782,-0.787287175655365
-0.571677207946777,-0.0845379680395126,1.49440205097198,-0.125546991825104,-0.0173545833677053,-0.603139102458954,-0.787502348423004
-0.57150262594223,-0.084774911403656,1.4943813085556,-0.126400604844093,-0.0167672615498304,-0.602891802787781,-0.787567913532257
-0.57150262594223,-0.084774911403656,1.4943813085556,-0.126400604844093,-0.0167672615498304,-0.602891802787781,-0.787567913532257
-0.57123064994812,-0.0854762196540832,1.49430620670319,-0.127591893076897,-0.0165706630796194,-0.602437376976013,-0.7877277135849
-0.571126043796539,-0.0857792943716049,1.49433982372284,-0.128664955496788,-0.0152754671871662,-0.601381778717041,-0.788385629653931
-0.570954978466034,-0.0860993266105651,1.494380235672,-0.129246801137924,-0.015149438753724,-0.601379096508026,-0.788294970989227
-0.57071441411972,-0.0863773450255394,1.49444770812988,-0.12950636446476,-0.0162079166620969,-0.601842045783997,-0.787877917289734
-0.570270359516144,-0.0865519791841507,1.4943470954895,-0.130141466856003,-0.0156457982957363,-0.600525677204132,-0.788788616657257
-0.57007759809494,-0.08682332187891,1.49434447288513,-0.130675241351128,-0.0154159180819988,-0.600621998310089,-0.788631439208984
-0.569903612136841,-0.0871021300554275,1.49435937404633,-0.131203949451447,-0.0153315542265772,-0.600594222545624,-0.788566410541534
-0.569677412509918,-0.0873703062534332,1.49420428276062,-0.131657287478447,-0.0150597803294658,-0.600388586521149,-0.788652718067169
-0.569488942623138,-0.0876311138272285,1.49421501159668,-0.132404431700706,-0.0149824675172567,-0.600371479988098,-0.788542211055756
-0.569339275360107,-0.0879449248313903,1.49439191818237,-0.133122071623802,-0.0149679454043507,-0.600848257541656,-0.788058340549469
-0.569207787513733,-0.0882176756858825,1.49425268173218,-0.133588507771492,-0.0150780398398637,-0.600318312644958,-0.788381099700928
-0.569032430648804,-0.0884276628494262,1.4942215681076,-0.134135499596596,-0.0149843180552124,-0.600326240062714,-0.788283944129944
-0.568976521492004,-0.0887658596038818,1.4944486618042,-0.134843617677689,-0.0155406249687075,-0.600440084934235,-0.788065731525421
-0.568688035011292,-0.0889178663492202,1.4941748380661,-0.135640621185303,-0.0151359671726822,-0.600350797176361,-0.788004696369171
-0.568607926368713,-0.0892249047756195,1.49437296390533,-0.136369124054909,-0.0154401296749711,-0.600579917430878,-0.78769850730896
-0.568336665630341,-0.0894363522529602,1.49428427219391,-0.137023538351059,-0.0151399848982691,-0.600769758224487,-0.787445962429047
-0.568050682544708,-0.0895695686340332,1.49401223659515,-0.137678578495979,-0.0148180816322565,-0.600825786590576,-0.787294983863831
-0.567995667457581,-0.0899597480893135,1.49431943893433,-0.138637393712997,-0.0155829014256596,-0.601087033748627,-0.786912381649017
-0.567851185798645,-0.0901956558227539,1.49432003498077,-0.139274328947067,-0.0156858228147029,-0.601094484329224,-0.786792278289795
-0.567581653594971,-0.0902988761663436,1.49419236183167,-0.139978662133217,-0.015358299948275,-0.601318717002869,-0.786502420902252
-0.567387640476227,-0.0905371010303497,1.49417912960052,-0.140754878520965,-0.0154689373448491,-0.601510941982269,-0.786214530467987
-0.567330241203308,-0.0909066796302795,1.49420511722565,-0.141627803444862,-0.0160688962787389,-0.601617872714996,-0.785963952541351
-0.567200601100922,-0.0911803245544433,1.49413704872131,-0.142353609204292,-0.0160933136940002,-0.602195739746094,-0.78538966178894
-0.567033231258392,-0.091335043311119,1.49410665035248,-0.143126711249352,-0.0161932930350303,-0.6022669672966,-0.785192430019379
-0.567422270774841,-0.0916861593723297,1.49400639533997,-0.144311338663101,-0.0149393994361162,-0.604928314685822,-0.782951354980469
-0.56734037399292,-0.0919549167156219,1.49401581287384,-0.144934549927711,-0.0155462510883808,-0.605060517787933,-0.782722234725952
-0.566685378551483,-0.0921050906181335,1.49403691291809,-0.145676597952843,-0.0170356761664152,-0.602640509605408,-0.784418523311615
-0.566599607467651,-0.0923817753791809,1.49403262138367,-0.145867258310318,-0.0175743047147989,-0.60294634103775,-0.784136116504669
-0.566357851028442,-0.092546209692955,1.49377489089966,-0.146353095769882,-0.0174973905086517,-0.603204309940338,-0.783849000930786
-0.566368103027344,-0.0928768441081047,1.49399709701538,-0.146929994225502,-0.0181363094598054,-0.603725850582123,-0.783324897289276
-0.566285789012909,-0.0930999815464019,1.49398458003998,-0.147427082061767,-0.0183613821864128,-0.604081988334656,-0.782951653003693
-0.566075086593628,-0.0932667255401611,1.49391043186188,-0.14792375266552,-0.0182350445538759,-0.604484677314758,-0.782549917697906
-0.566157937049866,-0.0937066823244094,1.49390888214111,-0.148341938853264,-0.0189038105309009,-0.605410993099213,-0.781738460063934
-0.566107630729675,-0.0939972475171089,1.49388217926025,-0.148788884282112,-0.019115513190627,-0.605765163898468,-0.781373798847198
-0.566019952297211,-0.0943332016468048,1.4938497543335,-0.149524644017219,-0.0192078575491905,-0.606262624263763,-0.780845105648041
-0.565974175930023,-0.0945586040616035,1.4938485622406,-0.149318337440491,-0.0195948630571365,-0.606688559055328,-0.78054404258728
-0.566401839256287,-0.0948216021060943,1.49378144741058,-0.149987429380417,-0.0179720632731914,-0.609096467494965,-0.778577148914337
-0.566416800022125,-0.0951411426067352,1.4939501285553,-0.150250464677811,-0.0185699798166751,-0.609568178653717,-0.778142988681793
-0.566364228725433,-0.0954959169030189,1.49379682540894,-0.150060772895813,-0.018938273191452,-0.609783887863159,-0.778001844882965
-0.566324770450592,-0.0957535803318023,1.49375128746033,-0.150072559714317,-0.0190998092293739,-0.610091090202332,-0.777754783630371
